SISTEMA,NOMBRE,LINEA,EST,CVE_EST,CVE_EOD17,TIPO,ALCALDIAS,AÑO
STC Metro,Pantitlán,01,01,STC0101,05014,Terminal / Transbordo,Venustiano Carranza,1984
STC Metro,Zaragoza,01,02,STC0102,05020,Intermedia,Venustiano Carranza,1969
STC Metro,Gomez Farías,01,03,STC0103,05007,Intermedia,Venustiano Carranza,1969
STC Metro,Boulevard Puerto Aéreo,01,04,STC0104,05003,Intermedia,Venustiano Carranza,1969
STC Metro,Balbuena,01,05,STC0105,05001,Intermedia,Venustiano Carranza,1969
STC Metro,Moctezuma,01,06,STC0106,05012,Intermedia,Venustiano Carranza,1969
STC Metro,San Lázaro,01,07,STC0107,05017,Transbordo,Venustiano Carranza,1969
STC Metro,Candelaria,01,08,STC0108,05004,Transbordo,Venustiano Carranza,1969
STC Metro,Merced,01,09,STC0109,05011,Intermedia,Venustiano Carranza,1969
STC Metro,Pino Suárez,01,10,STC0110,05015,Transbordo,Cuauhtémoc,1969
STC Metro,Isabel La Católica,01,11,STC0111,05009,Intermedia,Cuauhtémoc,1969
STC Metro,Salto del Agua,01,12,STC0112,05016,Transbordo,Cuauhtémoc,1969
STC Metro,Balderas,01,13,STC0113,05002,Transbordo,Cuauhtémoc,1969
STC Metro,Cuauhtémoc,01,14,STC0114,05006,Intermedia,Cuauhtémoc,1969
STC Metro,Insurgentes,01,15,STC0115,05008,Intermedia,Cuauhtémoc,1969
STC Metro,Sevilla,01,16,STC0116,05018,Intermedia,Cuauhtémoc,1969
STC Metro,Chapultepec,01,17,STC0117,05005,Intermedia,Cuauhtémoc / Miguel Hidalgo,1969
STC Metro,Juanacatlán,01,18,STC0118,05010,Intermedia,Miguel Hidalgo,1970
STC Metro,Tacubaya,01,19,STC0119,05019,Transbordo,Miguel Hidalgo,1970
STC Metro,Observatorio,01,20,STC0120,05013,Terminal,Álvaro Obregón,1972
STC Metro,Cuatro Caminos,02,01,STC0201,05045,Terminal,Estado de México - Naucalpan de Juárez,1984
STC Metro,Panteones,02,02,STC0202,05052,Intermedia,Miguel Hidalgo,1984
STC Metro,Tacuba,02,03,STC0203,05059,Transbordo,Miguel Hidalgo,1970
STC Metro,Cuitláhuac,02,04,STC0204,05046,Intermedia,Miguel Hidalgo,1970
STC Metro,Popotla,02,05,STC0205,05054,Intermedia,Miguel Hidalgo,1970
STC Metro,Colegio Militar,02,06,STC0206,05044,Intermedia,Miguel Hidalgo,1970
STC Metro,Normal,02,07,STC0207,05051,Intermedia,Miguel Hidalgo,1970
STC Metro,San Cosme,02,08,STC0208,05058,Intermedia,Cuauhtémoc,1970
STC Metro,Revolución,02,09,STC0209,05056,Intermedia,Cuauhtémoc,1970
STC Metro,Hidalgo,02,10,STC0210,05049,Transbordo,Cuauhtémoc,1970
STC Metro,Bellas Artes,02,11,STC0211,05042,Transbordo,Cuauhtémoc,1970
STC Metro,Allende,02,12,STC0212,05041,Intermedia,Cuauhtémoc,1970
STC Metro,Zócalo/Tenochtitlan,02,13,STC0213,05064,Intermedia,Cuauhtémoc,1970
STC Metro,Pino Suárez,02,14,STC0214,05053,Transbordo,Cuauhtémoc,1970
STC Metro,San Antonio Abad,02,15,STC0215,05057,Intermedia,Cuauhtémoc,1970
STC Metro,Chabacano,02,16,STC0216,05043,Transbordo,Cuauhtémoc,1970
STC Metro,Viaducto,02,17,STC0217,05061,Intermedia,Benito Juárez / Iztacalco,1970
STC Metro,Xola,02,18,STC0218,05063,Intermedia,Benito Juárez,1970
STC Metro,Villa de Cortés,02,19,STC0219,05062,Intermedia,Benito Juárez,1970
STC Metro,Nativitas,02,20,STC0220,05050,Intermedia,Benito Juárez,1970
STC Metro,Portales,02,21,STC0221,05055,Intermedia,Benito Juárez,1970
STC Metro,Ermita,02,22,STC0222,05047,Transbordo,Benito Juárez,1970
STC Metro,General Anaya,02,23,STC0223,05048,Intermedia,Coyoacán,1970
STC Metro,Tasqueña,02,24,STC0224,05060,Terminal,Coyoacán,1970
STC Metro,Indios Verdes,03,01,STC0301,05076,Terminal,Gustavo A. Madero,1979
STC Metro,Deportivo 18 de Marzo,03,02,STC0302,05069,Transbordo,Gustavo A. Madero,1979
STC Metro,Potrero,03,03,STC0303,05082,Intermedia,Gustavo A. Madero,1979
STC Metro,La Raza,03,04,STC0304,05078,Transbordo,Gustavo A. Madero,1978
